birth_department,birth_city,nationality,age,gender,stratum,pbm,admission_type,faculty,program
"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Colombiana,24,Hombres,Estrato 3,22,Regular,Administración,Administración de Sistemas Informáticos
"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Colombiana,22,Hombres,Estrato 5,75,Regular,Ciencias exactas y naturales,Ingeniería Física
"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Colombiana,22,Mujeres,Estrato 4,57,Regular,Ingeniería y arquitectura,Ingeniería Química
ANTIOQUIA,ITAGÜÍ,Colombiana,23,Mujeres,Estrato 4,32,Regular,Ingeniería y arquitectura,Ingeniería Industrial
"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Colombiana,23,Mujeres,Estrato 2,12,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Colombiana,26,Hombres,Estrato 1,3,Regular,Ciencias exactas y naturales,Ingeniería Física
"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Colombiana,23,Hombres,Estrato 4,23,Regular,Administración,Administración de Empresas (Diurno)
"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Colombiana,25,Mujeres,Estrato 1,56,Regular,Ingeniería y arquitectura,Ingeniería Civil
ANTIOQUIA,ITAGÜÍ,Colombiana,23,Mujeres,Estrato 3,10,PAES,Administración,Administración de Empresas (Diurno)
ATLÁNTICO,BARANOA,Colombiana,23,Hombres,Estrato 2,20,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
ANTIOQUIA,SONSÓN,Colombiana,27,Hombres,Estrato 1,2,PEAMA,Ingeniería y arquitectura,Ingeniería Civil
BOLÍVAR,CARTAGENA DE INDIAS,Colombiana,23,Hombres,Estrato 3,45,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,26,Hombres,Estrato 1,34,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 2,11,Regular,Ciencias exactas y naturales,Ciencias de la Computación
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 2,9,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 2,13,Regular,Administración,Administración de Sistemas Informáticos
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 3,46,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 2,8,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 3,33,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,21,Hombres,Estrato 3,45,Regular,Ciencias exactas y naturales,Matemáticas
CALDAS,MANIZALES,Colombiana,24,Mujeres,Estrato 1,5,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,46,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,15,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 6,86,Regular,Ciencias exactas y naturales,Ciencias de la Computación
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 1,11,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 6,86,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 2,10,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 3,19,Regular,Administración,Administración de Sistemas Informáticos
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 4,46,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 2,12,Regular,Administración,Administración de Empresas (Nocturno)
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 4,34,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
BOYACÁ,SOGAMOSO,Colombiana,23,Mujeres,Estrato 1,36,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,65,Regular,Ciencias exactas y naturales,Ingeniería Física
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 4,35,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 4,79,Regular,Ciencias exactas y naturales,Ingeniería Física
